Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
Notice of Intent to Publish a Funding Opportunity Announcement for Stephen I. Katz Early Stage Investigator Research Project Grant (R01 Clinical Trial Not Allowed),9/7/2023,,,OD,NIH,None,NOT-OD-23-174,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-174.html
"Notice of NIGMS Participation in PAR-23-219 ""SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1, Clinical Trial Not Allowed)""",9/7/2023,,,NIGMS,NIH,None,NOT-GM-23-051,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-23-051.html
Improving Care and Outcomes for Cancer Survivors from Sexual and Gender Minority (SGM) Populations (R01 Clinical Trial Optional),9/7/2023,1/7/2027,R01,NCI,NIH,SGMRO,PAR-23-292,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-292.html
Limited Competition for the Continuation of the Nonalcoholic Steatohepatitis Clinical Research Network (NASH CRN) Clinical Centers (U01 Clinical Trial Required),9/7/2023,11/8/2023,U01,NIDDK,NIH,None,RFA-DK-23-515,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-23-515.html
Single Source for the Continuation of the Nonalcoholic Steatohepatitis Clinical Research Network (NASH CRN) Data Coordinating Center (U24 Clinical Trial Required),9/7/2023,11/8/2023,U24,NIDDK,NIH,None,RFA-DK-23-516,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-23-516.html
Continuation of the Childhood Liver Disease Research Network (ChiLDReN) Scientific and Data Coordinating Center (U24 Clinical Trial Optional),9/7/2023,11/8/2023,U24,NIDDK,NIH,None,RFA-DK-23-018,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-23-018.html
Request for Information (RFI) on Proposed Guidance to Assured Institutions on Cephalopod Care and Use,9/7/2023,,,OD,NIH,None,NOT-OD-23-176,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-176.html
Reminder: NIH Natural Disaster Policies,9/7/2023,,,NIH,NIH,None,NOT-OD-23-171,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-171.html
Limited Competition: The Harmonized Cognitive Assessment Protocol (HCAP) Network (U24 Clinical Trial Not Allowed),9/6/2023,11/1/2023,U24,NIA,NIH,None,RFA-AG-24-035,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-035.html
High-Priority Behavioral and Social Research Networks??(R24 Clinical Trial Optional),9/6/2023,11/1/2023,R24,NIA,NIH,None,RFA-AG-24-034,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-034.html
State Dementia Care Research Center (U54 Clinical Trial Not Allowed),9/6/2023,11/14/2023,U54,NIA,NIH,None,RFA-AG-24-033,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-033.html
Notice of Intent to Publish a Funding Opportunity Announcement for Stephen I. Katz Early Stage Investigator Research Project Grant (R01 Basic Experimental Studies with Human Required),9/6/2023,,,OD,NIH,None,NOT-OD-23-175,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-175.html
Single Source: Molecular Atlas of Lung Development Program (LungMAP) Phase 3 - Human Tissue Core (U01- Clinical Trial Not Allowed),9/6/2023,10/27/2023,U01,NHLBI,NIH,None,RFA-HL-24-015,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-24-015.html
Single Source: Molecular Atlas of Lung Development Program (LungMAP) Phase 3 - Data Coordinating Center (U24- Clinical Trial Not Allowed),9/6/2023,10/27/2023,U24,NHLBI,NIH,None,RFA-HL-24-016,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-24-016.html
Notice of Change to Award Project Period for PAR-21-153 NINDS Faculty Development Award to Promote Diversity in Neuroscience Research (K01 Clinical Trial Required),9/6/2023,,,NINDS,NIH,None,NOT-NS-23-108,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-23-108.html
Notice of Special Interest (NOSI): Quantum Sensing in Biomedical Applications (SBIR/STRR),9/6/2023,9/5/2024,"R43/R44,R41/R42",NEI,NIH,"NCATS, NCI",NOT-EY-23-009,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-EY-23-009.html
Review of the Accuracy of Grants Information for Fiscal Year 2023,9/6/2023,,,OD,NIH,None,NOT-OD-23-168,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-168.html
"Notice of Pre-Application Webinar for Funding Opportunity PAR-23-258, ""Analytical and Clinical Validation of Biomarkers for Alzheimers Disease (AD) and AD-Related Dementias (ADRD)?(U01 Clinical Trial Optional)""",9/6/2023,,,NIA,NIH,None,NOT-AG-23-051,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-23-051.html
"Notice of Change to correct ORIPs listing under Components of Participating Organizations for PA-23-080, PA-23-230, PA-23-232, PAR-23-138, RFA-NS-23-006, and RFA-NS-23-007",9/6/2023,,"R41/R42,R43/R44,S10,T35",ORIP,NIH,None,NOT-OD-23-172,NOT,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-172.html
"Pre-Solicitation Notice: Virology Core Laboratory (VCL), RFP:  75N93023R00017",9/6/2023,,,NIAID,NIH,None,NOT-AI-23-066,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-23-066.html
"Notice of Special Interest (NOSI): Research Supplements to Promote Re-Entry, Re-integration into, and Re-training in Health-Related Research Careers (Admin Supp - Clinical Trial Not Allowed)",9/6/2023,10/8/2026,Admin Supp,ORWH,NIH,"NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ORIP, RM",NOT-OD-23-170,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-170.html
Findings of Research Misconduct,9/6/2023,,,OD,NIH,None,NOT-OD-23-173,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-173.html
"Notice of Change to Award Project Period for PAR-21-234 ""NINDS Faculty Development Award to Promote Diversity in Neuroscience Research (K01 Independent Clinical Trial Not Allowed)""",9/5/2023,,,NINDS,NIH,None,NOT-NS-23-107,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-23-107.html
"Notice to Rescind NOT-HL-23-082: NHLBI Notice of Clarification and Availability of Frequently Asked Questions (FAQs) for RFA-HL-23-008 and RFA-HL-23-009 ""NHLBI SBIR Phase IIB Small Market Awards""",9/5/2023,,,NHLBI,NIH,None,NOT-HL-23-115,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-115.html
Notice of Intent to Publish a Funding Opportunity Announcement for NHLBI Program Project Applications (P01 Clinical Trials Optional),9/5/2023,,,NHLBI,NIH,None,NOT-HL-23-114,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-114.html
BRAIN Initiative: Research on the Ethical Implications of Advancements in Neurotechnology and Brain Science (R01 Clinical Trial Optional),9/1/2023,10/11/2023,R01,NIMH,NIH,"NIAAA, NIBIB, NICHD, NIDA, NIDCD, NINDS, NCCIH, NEI, NIA",RFA-MH-24-190,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-190.html
"Systems-Level Risk Detection and Interventions to Reduce Suicide, Ideation, and Behaviors in Youth from Underserved Populations (R34 Clinical Trial Optional)",9/1/2023,2/20/2024,R34,NIMH,NIH,ODP,RFA-MH-25-125,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-25-125.html
"Systems-Level Risk Detection and Interventions to Reduce Suicide, Ideation, and Behaviors in Youth from Underserved Populations (R01 Clinical Trial Optional)",9/1/2023,2/20/2024,R01,NIMH,NIH,ODP,RFA-MH-25-126,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-25-126.html
HEAL INITIATIVE: Development and validation of remote or patient wearable device derived objective biosignatures or functional assessments to monitor pain for use as endpoints in clinical trials (UG3/UH3 - Clinical Trial Optional),9/1/2023,1/30/2024,UG3/UH3,NINDS,NIH,"NCCIH, NCI, NIA, NIAAA, NICHD, ORWH",RFA-NS-24-023,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-24-023.html
"Notice of Intent to Publish a Funding Opportunity Announcement for Enhancing Biomedical Engineering, Imaging, and Technology Acceleration (BEITA) at Historically Black Colleges and Universities (HBCUs) (UG3/UH3 Clinical Trial Not Allowed)",9/1/2023,,,NIBIB,NIH,None,NOT-EB-23-018,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EB-23-018.html
Firearm Injury Prevention in Community Healthcare Settings (R01 Clinical Trial Optional),9/1/2023,7/26/2024,R01,NINR,NIH,"OBSSR, ODP, ORWH, SGMRO",RFA-NR-24-001,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NR-24-001.html
"Notice of Correction to Foreign Institution Eligibility for RFA-NS-24-024 ""Role of Environmental Stress in the Health Inequities of Alzheimer's Disease-Related Dementias (ADRD) (R01 - Clinical Trial Not Allowed)""",9/1/2023,,,NINDS,NIH,None,NOT-NS-24-012,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-24-012.html
Notice of Intent to Publish a Funding Opportunity Announcement for NHLBI Clinical Trial Pilot Studies (R34 Clinical Trial Optional),8/31/2023,,,NHLBI,NIH,None,NOT-HL-23-109,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-109.html
Diagnostic Centers of Excellence for the Undiagnosed Diseases Network (U01  Clinical Trial Not Allowed),8/31/2023,11/3/2023,U01,NINDS,NIH,"NEI, NHGRI, NIA, NIAID, NIAMS, NICHD, NIDCD, NIDCR",PAR-23-289,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-289.html
"Notice of Special Interest (NOSI): Mechanisms Driving Obesity
and Prostate Cancer Risk",8/30/2023,9/7/2024,"R01,K99/R00,R21,K08,K22",NCI,NIH,None,NOT-CA-23-089,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-23-089.html
Scalable and Systematic Neurobiology of Psychiatric and Neurodevelopmental Disorder Risk Genes: Assay and Data Generation Centers (RM1 Clinical Trial Not Allowed),8/30/2023,1/31/2024,RM1,NIMH,NIH,None,RFA-MH-25-145,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-25-145.html
"Notice of Correction to Eligibility Criteria of PAR-23-144, Strengthening Research Opportunities for NIH Grants (STRONG): Structured Institutional Needs Assessment and Action Plan Development for Resource Limited Institutions (RLIs) (UC2)",8/30/2023,,,NIMHD,NIH,"NCATS, NCCIH, NIAID, NIAMS, NIDA, NIDCD, NIDCR, NIEHS, NIGMS, NIMH, ODP, ORWH",NOT-MD-23-018,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-23-018.html
"Notice of Correction to Table of Page Limits and change to Receipt Date for RFA-NS-24-011 ""Center without Walls for PET Ligand Development for Alzheimer's disease-related dementias (ADRDs) (U19 - Clinical Trial Optional)""",8/30/2023,10/3/2023,,NINDS,NIH,None,NOT-NS-24-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-24-011.html
Research Tools for Difficult to Culture Eukaryotic Pathogens (R61/R33 Clinical Trial Not Allowed),8/30/2023,2/2/2024,R61/R33,NIAID,NIH,None,RFA-AI-23-055,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-055.html
"Notice of Pre-Application and FAQs for RFA-OD-23-021, Public Health Communication Messaging about the Continuum of Risk for Tobacco Products (U01 Clinical Trial Required)",8/30/2023,,,ODP,NIH,None,NOT-OD-23-169,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-169.html
"Notice of Informational Webinar for RFA-NS-24-006 and RFA-NS-24-007 ""Community-Engaged Health Equity Research in Neuroscience Initiative"" Notices of Funding Opportunity (R01 and R34)",8/30/2023,,,NINDS,NIH,None,NOT-NS-23-109,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-23-109.html
Enhancement and Management of Established Biomedical Data Repositories and Knowledgebases (U24 Clinical Trial Not Allowed),8/30/2023,1/25/2026,U24,OD,NIH,"NIA, NIAAA, NIAMS, NIBIB, NIDA, NIDCR, NIEHS, NIGMS, NIMHD, NINDS, NCCIH, NCI, NEI, NHGRI, NHLBI",PAR-23-237,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-237.html
Early-stage Biomedical Data Repositories and Knowledgebases (R24 Clinical Trial Not Allowed),8/30/2023,1/25/2026,R24,OD,NIH,"NCCIH, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAMS, NIDA, NIDCD, NIEHS, NIMHD, NINDS",PAR-23-236,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-23-236.html
Developing Salivary Components as Therapeutics for Oral Health (R21 Clinical Trial Not Allowed),8/29/2023,11/22/2023,R21,NIDCR,NIH,None,RFA-DE-24-005,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DE-24-005.html
Developing Salivary Components as Therapeutics for Oral Health (R01 Clinical Trial Not Allowed),8/29/2023,11/22/2023,R01,NIDCR,NIH,None,RFA-DE-24-004,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DE-24-004.html
Biotypes of CNS Complications in People Living with HIV (P01 Clinical Trial Not Allowed),8/29/2023,12/11/2023,P01,NIMH,NIH,"NIDA, NINDS",RFA-MH-24-235,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-235.html
"Collaborative Science to Achieve Disruptive Innovations in Dental, Oral and Craniofacial (DOC) Research (RM1 Clinical Trial Not Allowed)",8/29/2023,11/22/2023,RM1,NIDCR,NIH,None,RFA-DE-24-003,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DE-24-003.html
Notice of Intent to Publish a Funding Opportunity Announcement for BRAIN Initiative Connectivity across Scales Data Coordinating Center (BRAIN CONNECTS DCC) (U24 Clinical Trial Not Allowed),8/29/2023,,,NINDS,NIH,"NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH",NOT-NS-24-009,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-24-009.html
IDeA Clinical and Translational Research Development (CTR-D) Award (P20-Clinical Trial Optional),8/29/2023,10/9/2025,P20,NIGMS,NIH,None,PAR-23-257,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-257.html
IDeA Clinical and Translational Research Network (CTR-N) Award (P50 - Clinical Trial Optional),8/29/2023,10/9/2025,P50,NIGMS,NIH,None,PAR-23-241,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-23-241.html
Broadening Opportunities for Computational Genomics and Data Science Education (UE5  Clinical Trial Not Allowed),8/29/2023,6/10/2024,UE5,NHGRI,NIH,None,RFA-HG-23-002,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-23-002.html
Initiative to Maximize Research Education in Genomics:  Diversity Action Plan (R25 Clinical Trials Not Allowed),8/29/2023,1/27/2025,R25,NHGRI,NIH,None,PAR-22-268,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-22-268.html
Notice of Technical Assistance Webinar for RFA-RM-23-012: Community Partnerships to Advance Science for Society (ComPASS) Program: Health Equity Research Hubs (UC2 Clinical Trial Optional),8/28/2023,,,RMOD,NIH,None,NOT-RM-23-023,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-23-023.html
Notice of Special Interest (NOSI): Xylazine: Understanding Its Use and the Consequences,8/28/2023,1/7/2025,"R21,R03",NIDA,NIH,None,NOT-DA-24-012,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-24-012.html
Notice of Pre-Application Webinar for NIH  National Science Foundation (NSF) Initiative: Smart Health and Biomedical Research in the Era of Artificial Intelligence and Advanced Data Science,8/28/2023,,,OD,NIH,None,NOT-OD-23-167,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-167.html
Notice of Special Interest in Research on Family Support and Rejection in the Health and Well-Being of SGM Populations,8/28/2023,5/7/2026,"R21,R15,R01,R34,K25,K99/R00,K01,R03,P01,K08,K23",OD,NIH,"NCI, NIA, NIAMS, NICHD, NIDDK, NIMH, NIMHD, OBSSR, ODP, ORWH, THRO",NOT-OD-23-166,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-166.html
Notice of NIH Participation in the National Science Foundation Solicitation NSF 23-614: Smart Health and Biomedical Research in the Era of Artificial Intelligence and Advanced Data Science,8/28/2023,,,OD,NIH,"NCATS, NCCIH, NCI, NEI, NHLBI, NIA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR, NLM, OAR, OBSSR, OD, ODP, ONR, ORWH, SGMRO",NOT-OD-23-165,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-23-165.html
National Center for Construction Safety and Health Research and Translation (U54),8/28/2023,11/30/2026,U54,NIOSH,CDC,None,RFA-OH-24-001,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-OH-24-001.html
"Consortium for Economic Research on AD/ADRD Prevention, Treatment, and Care (R01 Clinical Trial Optional)",8/28/2023,10/30/2023,R01,NIA,NIH,None,RFA-AG-24-031,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-031.html
"Consortium for Economic Research on AD/ADRD Prevention, Treatment, and Care Coordinating Center (U54 Clinical Trial Optional)",8/28/2023,10/30/2023,U54,NIA,NIH,None,RFA-AG-24-030,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-030.html
Single Source: Pediatric Early Phase Clinical Trials Network (PEP-CTN; UM1 Clinical Trial Required),8/25/2023,11/15/2023,UM1,NCI,NIH,None,RFA-CA-24-007,RFA,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-24-007.html
"Notice of NIGMS Informational Webinar for PAR-23-110 ""Biomedical Technology Optimization and Dissemination Center (BTOD)""",8/25/2023,,,NIGMS,NIH,None,NOT-GM-23-052,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-23-052.html
Building Neuroscience Research Infrastructure for Alzheimer's Disease (AD) and AD-Related Dementias (ADRD) in Africa (UG3/UH3 Clinical Trial Not Allowed),8/25/2023,2/14/2024,UG3/UH3,NIA,NIH,None,RFA-AG-24-027,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-24-027.html
Notice of Special Interest (NOSI): Promoting implementation research to address HIV-associated comorbidities and risk factors within well-established longitudinal studies (R01 Clinical Trial Optional),8/25/2023,9/7/2026,R01,NHLBI,NIH,None,NOT-HL-23-113,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-113.html
Notice Regarding Added Language for Scored Review Criteria for the Evaluation and Planning Core for RFA-OH-23-003,8/25/2023,,,NIOSH,CDC,None,NOT-OH-23-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OH-23-004.html
"Improving Choice, Use, and Equitable Implementation of Biomedical HIV Prevention for Women  (R34 Clinical Trial Optional)",8/25/2023,11/22/2023,R34,NIMH,NIH,"OAR, ORWH",RFA-MH-24-162,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-162.html
"Improving Choice, Use, and Equitable Implementation of Biomedical HIV Prevention for Women  (R21 Clinical Trial Optional)",8/25/2023,11/22/2023,R21,NIMH,NIH,"NICHD, OAR, ORWH",RFA-MH-24-161,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-161.html
"Improving Choice, Use, and Equitable Implementation of Biomedical HIV Prevention for Women (R01 Clinical Trial Optional)",8/25/2023,11/22/2023,R01,NIMH,NIH,"NICHD, OAR, ORWH",RFA-MH-24-160,RFA,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-24-160.html
"Notice of Expiration of NOT-HL-23-102 ""Notice of Special Interest (NOSI): Promoting implementation research to address HIV-associated comorbidities and risk factors within well-established cohorts (R01 Clinical Trial Optional)""",8/25/2023,,,NHLBI,NIH,None,NOT-HL-23-112,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-23-112.html
